OBJECTID,C_PRINT,Parcelnum,Address_1,Address_2,Zipcode,Property_C,Municipali,Garabage_D,Updated,Shape__Area,Shape__Length
1,82.-1-23,23,12644,West County House Road,14411,241,Town of Albion,Friday,September 2023,510200.141723633,4889.35071947352
2,82.-1-21.1,21.1,0,West County House Road,14411,105,Town of Albion,Friday,September 2023,84132.2557373047,1160.58230360781
3,83.-1-61.21,61.21,4115,Eagle Harbor West Barre Road,14411,220,Town of Albion,Friday,September 2023,39302.4327392578,843.651961585582
4,82.-1-20.222,20.222,0,West County House Road,14411,105,Town of Albion,Friday,September 2023,17462.2733154297,912.788452005374
5,82.-1-27.2,27.2,12601,West County House Road,14411,210,Town of Albion,Friday,September 2023,378115.456176758,2682.88349977791
6,82.-1-25,25,12607,West County House Road,14411,210,Town of Albion,Friday,September 2023,113836.018920898,1449.27394918174
7,82.-1-26,26,4095,Taylor Hill Road,14411,210,Town of Albion,Friday,September 2023,36145.5090332031,837.308795579843
8,84.-1-54,54,14363,West Lee Road,14411,210,Town of Albion,Friday,September 2023,17315.7432861328,527.392682551139
9,83.-1-61.31,61.31,4109,Eagle Harbor West Barre Road,14411,220,Town of Albion,Friday,September 2023,62606.3170166016,994.998331332617
10,82.-1-20.221,20.221,0,West County House Road,14411,105,Town of Albion,Friday,September 2023,493418.454467773,3905.81612148459
11,84.-1-51,51,0,East Lee Road,14411,314,Town of Albion,Friday,September 2023,60270.1691894531,1584.56600081225
12,84.-1-45.12,45.12,14444,East Lee Road,14411,210,Town of Albion,Friday,September 2023,51583.9050292969,914.800135163276
13,82.-2-37.11,37.11,0,West County House Road,14411,120,Town of Albion,Friday,September 2023,406087.407226563,2610.60746145144
14,84.-1-55.1,55.1,14343,West Lee Road,14411,210,Town of Albion,Friday,September 2023,86140.3006591797,1185.6824768178
15,84.-1-28.1,28.1,14500,East Lee Road,14411,210,Town of Albion,Friday,September 2023,90534.0441894531,1204.55804934807
16,84.-1-27,27,14530,East Lee Road,14411,449,Town of Albion,Friday,September 2023,70330.5725097656,1104.68801836406
17,82.-2-39,39,12966,West County House Road,14411,210,Town of Albion,Friday,September 2023,76223.4069824219,1203.00380710183
18,82.-1-19,19,12947,West County House Road,14411,210,Town of Albion,Friday,September 2023,30306.8046875,724.478614127941
19,84.-1-26.1,26.1,14550,East Lee Road,14411,271,Town of Albion,Friday,September 2023,204427.186523438,1840.80030139756
20,85.-2-16.1,16.1,15397,Power Line Road,14411,210,Town of Albion,Friday,September 2023,41441.0626220703,880.207903064708
21,82.-2-40,40,0,West County House Road,14411,314,Town of Albion,Friday,September 2023,80098.7537841797,1192.69038070899
22,85.-1-53.1,53.1,0,East Lee Road,14411,321,Town of Albion,Friday,September 2023,248200.596801758,2086.72614085563
23,84.-1-49.1,49.1,14459,East Lee Road,14411,210,Town of Albion,Friday,September 2023,51663.9610595703,936.395687307754
24,84.-1-47,47,14471,East Lee Road,14411,210,Town of Albion,Friday,September 2023,53318.2690429688,930.730735670155
25,84.-1-52.2,52.2,14383,East Lee Road,14411,210,Town of Albion,Friday,September 2023,160963.258666992,1735.53374104597
26,84.-1-46,46,14485,East Lee Road,14411,210,Town of Albion,Friday,September 2023,51006.7810058594,915.803003294608
27,84.-1-52.12,52.12,14403,East Lee Road,14411,311,Town of Albion,Friday,September 2023,269708.644042969,2085.6739013169
28,84.-1-56.1,56.1,0,West Lee Road,14411,105,Town of Albion,Friday,September 2023,669321.528320313,3274.37124420668
29,84.-1-56.2,56.2,0,West Lee Road,14411,311,Town of Albion,Friday,September 2023,363894.44934082,2508.16115120704
30,82.-2-42.11,42.11,13020,West County House Road,14411,280,Town of Albion,Friday,September 2023,473260.744018555,2953.68710325721
31,84.-1-55.2,55.2,0,West Lee Road,14411,105,Town of Albion,Friday,September 2023,1110690.85742188,5416.48598752049
32,84.-1-53,53,4084,Route 98,14411,210,Town of Albion,Friday,September 2023,35486.462890625,837.989504391424
33,82.-2-36,36,0,West County House Road,14411,311,Town of Albion,Friday,September 2023,66238.826171875,1115.70723798185
34,85.-2-17.12,17.12,15469,Power Line Road,14411,210,Town of Albion,Friday,September 2023,94571.2668457031,1332.57977547712
35,85.-2-15,15,15481,Power Line Road,14411,210,Town of Albion,Friday,September 2023,105060.785400391,1375.96240577992
36,84.-1-25,25,14565,East Lee Road,14411,210,Town of Albion,Friday,September 2023,145662.839355469,1721.41724146372
37,85.-2-30.1,30.1,0,Power Line Road,14411,323,Town of Albion,Friday,September 2023,211836.850341797,1885.32449820251
38,85.-2-30.2,30.2,0,Power Line Road,14411,323,Town of Albion,Friday,September 2023,99777.72265625,1488.48911437733
39,85.-2-27.1,27.1,0,Power Line Road,14411,323,Town of Albion,Friday,September 2023,504658.738647461,2924.85796428445
40,82.-2-35.1,35.1,13046,West County House Road,14411,210,Town of Albion,Friday,September 2023,113315.612060547,1382.28341607612
41,85.-2-34.11,34.11,15180,East Lee Road,14411,210,Town of Albion,Friday,September 2023,45977.3349609375,899.467414002343
42,82.-2-43,43,13035,West County House Road,14411,210,Town of Albion,Friday,September 2023,40504.7633056641,841.192902437611
43,82.-2-42.12,42.12,4056,Long Bridge Road,14411,210,Town of Albion,Friday,September 2023,407695.058227539,2667.00944721362
44,84.-1-52.11,52.11,4071,Route 98,14411,210,Town of Albion,Friday,September 2023,362868.514038086,2461.34776607403
45,84.-1-50,50,14423,East Lee Road,14411,210,Town of Albion,Friday,September 2023,434190.168457031,2811.29821570947
46,82.-2-41,41,0,Long Bridge Road,14411,695,Town of Albion,Friday,September 2023,24082.5963134766,620.91459659487
47,85.-2-32,32,15207,East Lee Road,14411,210,Town of Albion,Friday,September 2023,48348.2838134766,1050.1922607915
48,84.-1-45.111,45.111,0,East Lee Road,14411,314,Town of Albion,Friday,September 2023,141681.962036133,1626.62633756201
49,84.-1-24,24,14549,East Lee Road,14411,210,Town of Albion,Friday,September 2023,286459.354614258,2194.13089276624
