PIN,SBL,OBJECTID,Shape__Area,Shape__Length
1.00-1-1.1,00100000010010100000,1,47003.75,1266.0065489454
1.00-1-1.2,00100000010010200000,2,28053.2109375,1133.4839842659
1.00-1-1.3,00100000010010300000,3,12977.765625,594.700527670836
1.00-1-10,00100000010100000000,4,7659.11328125,500.197528815897
1.00-1-11,00100000010110000000,5,10961.08203125,495.517083595754
1.00-1-12,00100000010120000000,6,69513.92578125,1194.85194792924
1.00-1-13.1,00100000010130010000,7,1596797.546875,6097.84279706389
1.00-1-13.2,00100000010130020000,8,8442.99609375,385.682538172725
1.00-1-14,00100000010140000000,9,660368.13671875,3446.67371203083
1.00-1-15,00100000010150000000,10,244466.05859375,2294.60783074255
1.00-1-16,00100000010160000000,11,1206945.7578125,4447.79088122186
1.00-1-17,00100000010170000000,12,1092094.07421875,6263.93302840871
1.00-1-18,00100000010180000000,13,518121.24609375,3899.14201471938
1.00-1-19,00100000010190000000,14,840883.75390625,3862.81924738679
1.00-1-2,00100000010020000000,15,9591.64453125,438.241105412082
1.00-1-20,00100000010200000000,16,127353.59765625,1473.70725404143
1.00-1-21,00100000010210000000,17,563107.859375,3712.13353360679
1.00-1-22,00100000010220000000,18,504427.86328125,3051.16842611758
1.00-1-23.1,00100000010230100000,19,108292.9296875,1949.19982142108
1.00-1-23.2,00100000010230200000,20,668861.296875,4098.42193407207
1.00-1-23.3,00100000010230300000,21,1697969.91015625,6171.89442816057
1.00-1-24,00100000010240000000,22,26930.9765625,654.812405381115
1.00-1-25,00100000010250000000,23,5481.46875,318.406230755306
1.00-1-26,00100000010260000000,24,600416.71875,4351.44168302961
1.00-1-27.112,00100000010271120000,25,5265.3828125,313.410225087213
1.00-1-27.12,00100000010270120000,26,4959.94140625,292.383461534962
1.00-1-27.2,00100000010270200000,27,7641.9375,368.155767480876
1.00-1-28,00100000010280000000,28,6742.69140625,341.608626416321
1.00-1-29,00100000010290000000,29,25961.46484375,763.889732016742
1.00-1-3,00100000010030000000,30,12714.05859375,498.349961235063
1.00-1-30,00100000010300000000,31,3713.3984375,288.014455553037
1.00-1-31,00100000010310000000,32,67023.83984375,1340.1824575614
1.00-1-32,00100000010320000000,33,4983.33203125,288.396731509395
1.00-1-4,00100000010040000000,34,2264.3984375,203.231622487037
1.00-1-5,00100000010050000000,35,2629.24609375,206.883577717499
1.00-1-6,00100000010060000000,36,10654.62890625,449.683400176979
1.00-1-8.1,00100000010080010000,37,16459.8984375,584.814893410289
1.00-1-8.2,00100000010080020000,38,27131.34375,685.345468923434
1.00-1-9,00100000010090000000,39,18664.2421875,623.071276904407
10.00-1-1,01000000010010000000,40,303221.78515625,3034.19859368041
10.00-1-10,01000000010100000000,41,75159.890625,1096.19979633411
10.00-1-11,01000000010110000000,42,152494.51953125,1601.21066667904
10.00-1-12,01000000010120000000,43,295152.19921875,2217.52541332146
10.00-1-13.1,01000000010130010000,44,32810.046875,728.833583138009
10.00-1-13.2,01000000010130020000,45,37834.98828125,787.792733278804
10.00-1-14,01000000010140000000,46,712144.93359375,3975.6001993934
10.00-1-15,01000000010150000000,47,58085.234375,1831.53378576884
10.00-1-16,01000000010160000000,48,39920.296875,783.567440950246
10.00-1-17,01000000010170000000,49,787485.63671875,7309.98221394998
10.00-1-18,01000000010180000000,50,49156.89453125,1047.90483255194
10.00-1-2,01000000010020000000,51,2677.59765625,213.655681071528
10.00-1-20.1,01000000010200010000,52,236078.58203125,2826.2649527748
10.00-1-20.2,01000000010200020000,53,51869.640625,905.595199147384
10.00-1-21,01000000010210000000,54,24889.99609375,800.545560347568
10.00-1-22,01000000010220000000,55,67550.70703125,1122.82086302076
10.00-1-23,01000000010230000000,56,2293.0625,205.095145399113
10.00-1-24,01000000010240000000,57,26498.1875,754.060717815229
10.00-1-3,01000000010030000000,58,2890.60546875,210.832875871623
10.00-1-5,01000000010050000000,59,5489.81640625,393.581267080814
10.00-1-6,01000000010060000000,60,6220.73046875,340.631836384639
10.00-1-7.1,01000000010070100000,61,265470.55859375,2574.50095044684
10.00-1-7.2,01000000010070200000,62,7410.015625,374.258682269433
10.00-1-8,01000000010080000000,63,1727065.12890625,11651.5598828412
10.00-1-9.1,01000000010090100000,64,333879.7109375,2881.86351153851
10.00-1-9.2,01000000010090200000,65,31086.33984375,887.317083985117
10.00-1-9.3,01000000010090300000,66,1149197.66015625,4872.08473021221
100.00-1-1,10000000010010000000,67,280803.3125,2324.64568778519
100.00-1-10,10000000010100000000,68,296769.328125,2183.72668373648
100.00-1-11,10000000010110000000,69,55651.1640625,954.061096545977
100.00-1-12,10000000010120000000,70,773732.92578125,5081.80438897566
100.00-1-13,10000000010130000000,71,288273.91015625,2141.4569080195
100.00-1-14,10000000010140000000,72,87251.375,2060.60734189645
100.00-1-15,10000000010150000000,73,402170.40625,5323.93788119085
100.00-1-17.1,10000000010170100000,74,293514.85546875,4760.149119865
100.00-1-17.2,10000000010170200000,75,6307.765625,642.955391155128
100.00-1-2.1,10000000010020100000,76,286585.765625,2621.03125791846
100.00-1-2.2,10000000010020200000,77,14056.06640625,479.65262107528
100.00-1-3,10000000010030000000,78,6873.3984375,331.744678460725
100.00-1-4,10000000010040000000,79,30676.80859375,935.416258768587
100.00-1-5.1,10000000010050100000,80,1177955.3671875,10072.1983146874
100.00-1-5.2,10000000010050200000,81,50001.29296875,1012.21126873021
100.00-1-6,10000000010060000000,82,3204727.75390625,12964.9760851112
100.00-1-7,10000000010070000000,83,824277.671875,4045.70455024016
100.00-1-8,10000000010080000000,84,94258.828125,1259.47185148102
100.00-1-9,10000000010090000000,85,151052.3125,1684.73410407056
100.00-2-1,10000000020010000000,86,2105038.109375,7574.51781919599
100.00-2-10,10000000020100000000,87,222952.16796875,1905.19365596842
100.00-2-11,10000000020110000000,88,359411.9375,2945.95878806373
100.00-2-12.1,10000000020120100000,89,392347.2578125,3211.52063284752
100.00-2-12.2,10000000020120200000,90,20955.875,580.354664180059
100.00-2-13.11,10000000020130110000,91,42990.64453125,1203.58665164428
100.00-2-13.121,10000000020131210000,92,113705.67578125,2269.69543981083
100.00-2-13.122,10000000020131220000,93,159706.86328125,1792.10071596636
100.00-2-14,10000000020140000000,94,10258.890625,432.880357306658
100.00-2-15,10000000020150000000,95,7521.4375,373.320517154037
100.00-2-16,10000000020160000000,96,19525.3203125,629.660449673543
100.00-2-17.11,10000000020170110000,97,983818.44140625,8173.65650162507
100.00-2-17.12,10000000020170120000,98,104880.10546875,1491.4423307923
100.00-2-17.2,10000000020170020000,99,22615.6875,653.741712568779
100.00-2-18.1,10000000020180100000,100,1204169.6953125,8548.38654995054
